81.0,2.9208221646890836e-05
97.0,3.597881180414487e-05
36.0,4.095453652523005e-05
105.0,4.578684330763473e-05
232.0,5.8218489327109835e-05
20.0,6.62735285207633e-05
148.0,9.183761036501875e-05
199.0,0.00010147694277418798
125.0,0.00016971647281347732
12.0,0.00020725928145154556
200.0,0.0002614802954361467
139.0,0.00027679131004797614
37.0,0.0003340325186025222
21.0,0.0003502527901959785
165.0,0.00044385738107235
129.0,0.000522361451826036
210.0,0.0006828617861792777
112.0,0.0009724121037611317
212.0,0.0009784879355556842
240.0,0.001307108743804838
269.0,0.0015678113733847124
225.0,0.0018926569210123145
101.0,0.0022112763281494567
102.0,0.0031726654766537
209.0,0.0034844809461086054
163.0,0.005082390347952479
121.0,0.005265687590064766
35.0,0.005337085831301916
164.0,0.006844493742703675
32.0,0.006848542146179364
219.0,0.008257834323266555
202.0,0.008536448129827361
52.0,0.008814869297133314
142.0,0.010089921932527023
247.0,0.010648532793881227
264.0,0.011147363189384077
5.0,0.01481170071902358
230.0,0.01524453496579761
226.0,0.026541802007079143
259.0,0.03158653827755822
117.0,0.03541887685179168
258.0,0.03882346652395139
263.0,0.04108266476072408
257.0,0.04724654579456243
155.0,0.06542560098710831
42.0,0.06548436742792589
137.0,0.06929838627087835
152.0,0.07264997569436733
65.0,0.07487854393159253
75.0,0.12067680166079554
23.0,0.14166986694271444
24.0,0.14385103059177498
265.0,0.148718093208614
45.0,0.1501368591758418
161.0,0.17434306656123472
135.0,0.1798901278822641
215.0,0.20088833973049935
249.0,0.25593890502999617
188.0,0.2723051324974379
82.0,0.28057195082854225
119.0,0.28121162541315625
116.0,0.3101069549191096
266.0,0.34286813987000336
192.0,0.37381856803288943
186.0,0.3815980467549991
62.0,0.45377519785892556
115.0,0.4992782782282633
197.0,0.49977921174081885
14.0,0.5030505919070632
13.0,0.5047717708321287
237.0,0.6030360396089031
127.0,0.6183247030638467
211.0,0.6250938623558897
172.0,0.6415817046258344
132.0,0.7433656350888281
195.0,0.7556071214495854
108.0,0.7663337577803145
92.0,0.786980168096044
72.0,0.7872045526413713
145.0,0.8197203331532182
205.0,0.8478756102084991
207.0,0.8538377169487144
15.0,0.8560215895623634
126.0,0.8847933352431665
55.0,0.8968268712709204
85.0,0.8999630578369656
95.0,0.9358452504615559
255.0,0.9450087350279947
217.0,0.9695416157234514
166.0,0.9776720691188254
