T [sec],t [sec],a_x [m/s2],a_y [m/s2],a_z [m/s2]
0.0009284019470214844,0.30877041816711426,0.0784532,-0.7060788,9.8851032
0.0009319782257080078,0.30970311164855957,0.1569064,-0.4707192,10.0420096
0.0009465217590332031,0.3106508255004883,-0.0784532,0.9414384,8.9436648
0.0009300708770751953,0.3115823268890381,-0.7060788,-0.7060788,10.8265416
0.0009293556213378906,0.3125128746032715,-0.8629851999999999,-0.6276256,9.022118
0.0009267330169677734,0.31344056129455566,-0.4707192,-0.7060788,9.9635564
0.0009276866912841797,0.31436920166015625,0.2353596,0.0784532,9.7281968
0.0009274482727050781,0.31529784202575684,-0.9414384,1.2552512,10.6696352
0.0009291172027587891,0.31622791290283203,-1.1767979999999998,1.3337044,9.414383999999998
0.0009300708770751953,0.31715893745422363,0.0,1.8044235999999998,8.4729456
0.0009264945983886719,0.3180863857269287,1.0983448,-0.6276256,10.591182
0.0009267330169677734,0.3190140724182129,0.0,1.8044235999999998,8.4729456
0.0009276866912841797,0.3199427127838135,-0.1569064,-0.3138128,9.9635564
0.0009281635284423828,0.32087182998657227,0.0784532,-1.7259703999999998,10.0420096
0.0009272098541259766,0.32180023193359375,0.3138128,-2.1182364,9.9635564
0.000926971435546875,0.32272815704345703,1.1767979999999998,1.4906107999999998,9.1005712
0.0009276866912841797,0.3236570358276367,0.1569064,0.0,10.591182
0.0009276866912841797,0.3245854377746582,0.5491724,0.784532,8.9436648
0.000926971435546875,0.3255136013031006,0.6276256,-0.6276256,10.591182
0.0009267330169677734,0.32644128799438477,0.2353596,-0.0784532,9.492837199999999
0.0009279251098632812,0.32737016677856445,-0.4707192,-1.3337044,11.2188076
0.0009360313415527344,0.3283095359802246,-0.1569064,-0.7060788,9.571290399999999
0.0009293556213378906,0.3292415142059326,0.3138128,-2.4320492,9.80665
0.0009274482727050781,0.3301701545715332,-0.0784532,-1.8044235999999998,8.7867584
0.0009305477142333984,0.331101655960083,0.0,-0.7060788,10.6696352
0.0009279251098632812,0.3320305347442627,0.2353596,1.4906107999999998,10.3558224
0.0009410381317138672,0.33297252655029297,-0.6276256,1.2552512,10.591182
0.0009305477142333984,0.333904504776001,-0.784532,0.0,10.9049948
0.0009317398071289062,0.3348500728607178,0.2353596,0.7060788,9.571290399999999
0.0009279251098632812,0.33577942848205566,0.4707192,0.6276256,9.414383999999998
0.0009291172027587891,0.33670973777770996,-0.8629851999999999,-0.0784532,10.3558224
0.000926971435546875,0.33763813972473145,-0.6276256,-1.4906107999999998,9.649743599999999
0.0009276866912841797,0.33856678009033203,1.1767979999999998,-1.3337044,9.1790244
0.0009279251098632812,0.3394956588745117,0.2353596,1.0198916,10.277369199999999
0.0009284019470214844,0.3404250144958496,-0.0784532,1.2552512,10.0420096
0.000926971435546875,0.3413529396057129,0.0,1.1767979999999998,9.9635564
0.000926971435546875,0.34228086471557617,1.2552512,1.2552512,9.649743599999999
0.0009267330169677734,0.34320878982543945,0.5491724,-0.392266,9.414383999999998
0.0009274482727050781,0.34413719177246094,-0.6276256,-0.8629851999999999,9.3359308
0.000926971435546875,0.3450651168823242,0.3138128,0.392266,10.0420096
0.0009274482727050781,0.3459937572479248,0.6276256,-2.1182364,10.1204628
0.0009276866912841797,0.3469223976135254,0.4707192,-1.8828768,9.1005712
0.000926971435546875,0.3478505611419678,0.8629851999999999,0.0,9.9635564
0.0009281635284423828,0.34877967834472656,-0.2353596,1.4906107999999998,9.414383999999998
0.000926971435546875,0.34970808029174805,-0.5491724,-0.1569064,11.2188076
0.0009274482727050781,0.35063648223876953,-0.5491724,0.0,9.1790244
0.0009267330169677734,0.3515644073486328,0.5491724,0.0,10.6696352
0.0009272098541259766,0.3524925708770752,-0.9414384,0.2353596,10.1204628
0.0009274482727050781,0.3534209728240967,-0.3138128,-0.9414384,9.414383999999998
0.0009272098541259766,0.35434937477111816,-1.0983448,-1.96133,10.5127288
0.000926971435546875,0.35527729988098145,0.4707192,-0.784532,9.022118
0.000926971435546875,0.3562052249908447,0.8629851999999999,-0.0784532,10.0420096
0.0009279251098632812,0.3571343421936035,-1.1767979999999998,1.1767979999999998,10.591182
0.0009272098541259766,0.35806846618652344,-0.7060788,1.8828768,9.414383999999998
0.0009279251098632812,0.3589975833892822,0.392266,0.0,10.5127288
0.000926971435546875,0.3599257469177246,0.3138128,1.4121576,8.7083052
0.0009324550628662109,0.36085939407348633,-0.6276256,0.5491724,10.277369199999999
0.0009312629699707031,0.36179208755493164,0.0,-1.0983448,10.277369199999999
0.0009307861328125,0.36272406578063965,0.5491724,-1.8828768,9.3359308
0.0009272098541259766,0.36365246772766113,0.1569064,-1.0198916,9.7281968
0.0009281635284423828,0.3645815849304199,1.2552512,0.3138128,10.198916
0.000926971435546875,0.3655097484588623,0.0,1.1767979999999998,9.571290399999999
0.0009274482727050781,0.3664383888244629,0.0,-1.6475172,10.277369199999999
0.0009264945983886719,0.36736559867858887,0.784532,1.8828768,9.1005712
